problem,num_nodes,num_edges,traffic_seed,tm_model,scale_factor,num_commodities,total_demand,algo,split_method,split_fraction,num_subproblems,num_paths,edge_disjoint,dist_metric,objective,obj_val,runtime
GtsCe.graphml,149,386,1033617822,gravity,16.0,22051,7992.4306640625,pop,random,1.0,16,4,True,inv-cap,total_flow,7992.431522491388,0.07244515419006348
GtsCe.graphml,149,386,1192263082,gravity,32.0,22051,16053.5146484375,pop,random,0.75,16,4,True,inv-cap,total_flow,14119.05513698701,0.12195515632629395
GtsCe.graphml,149,386,1321948195,gravity,64.0,22052,31993.994140625,pop,random,0,16,4,True,inv-cap,total_flow,21942.080186149098,0.08526396751403809
GtsCe.graphml,149,386,1192263082,gravity,32.0,22051,16053.5146484375,pop,random,1.0,16,4,True,inv-cap,total_flow,14120.792223633267,0.16780614852905273
GtsCe.graphml,149,386,1321948195,gravity,64.0,22052,31993.994140625,pop,random,0.25,16,4,True,inv-cap,total_flow,22077.401907236002,0.11640691757202148
GtsCe.graphml,149,386,1088539607,gravity,4.0,22050,1992.7869873046875,pop,random,0,16,4,True,inv-cap,total_flow,1992.7869736058637,0.009651899337768555
GtsCe.graphml,149,386,1321948195,gravity,64.0,22052,31993.994140625,pop,random,0.5,16,4,True,inv-cap,total_flow,22063.749639077112,0.15271615982055664
GtsCe.graphml,149,386,1088539607,gravity,4.0,22050,1992.7869873046875,pop,random,0.25,16,4,True,inv-cap,total_flow,1992.7869736058637,0.010394096374511719
GtsCe.graphml,149,386,1321948195,gravity,64.0,22052,31993.994140625,pop,random,0.75,16,4,True,inv-cap,total_flow,22130.257793674245,0.22684597969055176
GtsCe.graphml,149,386,1088539607,gravity,4.0,22050,1992.7869873046875,pop,random,0.5,16,4,True,inv-cap,total_flow,1992.7869736058637,0.020843982696533203
GtsCe.graphml,149,386,1321948195,gravity,64.0,22052,31993.994140625,pop,random,1.0,16,4,True,inv-cap,total_flow,22131.116494329643,0.2671639919281006
GtsCe.graphml,149,386,1088539607,gravity,4.0,22050,1992.7869873046875,pop,random,0.75,16,4,True,inv-cap,total_flow,1992.7869736058637,0.014697074890136719
GtsCe.graphml,149,386,1956926541,gravity,8.0,22052,4016.525390625,pop,random,0,16,4,True,inv-cap,total_flow,4016.5254356889054,0.011124849319458008
GtsCe.graphml,149,386,1088539607,gravity,4.0,22050,1992.7869873046875,pop,random,1.0,16,4,True,inv-cap,total_flow,1992.7869736058637,0.03064584732055664
GtsCe.graphml,149,386,1956926541,gravity,8.0,22052,4016.525390625,pop,random,0.25,16,4,True,inv-cap,total_flow,4016.5254356889054,0.018358230590820312
GtsCe.graphml,149,386,1283401444,gravity,2.0,22051,1000.3094482421875,pop,random,0,16,4,True,inv-cap,total_flow,1000.3094690794096,0.008152008056640625
GtsCe.graphml,149,386,1956926541,gravity,8.0,22052,4016.525390625,pop,random,0.5,16,4,True,inv-cap,total_flow,4016.5254356889054,0.02706003189086914
GtsCe.graphml,149,386,1283401444,gravity,2.0,22051,1000.3094482421875,pop,random,0.25,16,4,True,inv-cap,total_flow,1000.3094690794096,0.010295867919921875
GtsCe.graphml,149,386,1956926541,gravity,8.0,22052,4016.525390625,pop,random,0.75,16,4,True,inv-cap,total_flow,4016.5254356889054,0.03279900550842285
GtsCe.graphml,149,386,1283401444,gravity,2.0,22051,1000.3094482421875,pop,random,0.5,16,4,True,inv-cap,total_flow,1000.3094690794096,0.013025999069213867
GtsCe.graphml,149,386,1956926541,gravity,8.0,22052,4016.525390625,pop,random,1.0,16,4,True,inv-cap,total_flow,4016.5254356889054,0.025259017944335938
GtsCe.graphml,149,386,1283401444,gravity,2.0,22051,1000.3094482421875,pop,random,0.75,16,4,True,inv-cap,total_flow,1000.3094690794096,0.017967939376831055
GtsCe.graphml,149,386,12734199,gravity,128.0,22052,63883.66015625,pop,random,0,16,4,True,inv-cap,total_flow,32909.906901336406,0.12495708465576172
